"BehaviorSpace results (NetLogo 6.3.0)"
"nl-poseidon.nlogo"
"exploration-radius"
"09/19/2023 19:48:49:976 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-5","5","-5","5"
"[run number]","min-mpa-x","exploration-probability","number-of-fishers","hourly-costs","min-mpa-y","diffusion-rate","growth-rate","price-of-fish","max-mpa-x","carrying-capacity","max-mpa-y","catchability","speed","exploration-radius","[step]","mean [ bank-balance ] of fishers"
"132","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","3.6","8760","685477.497203518"
"133","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","3.6","8760","743428.3834428637"
"135","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","3.6","8760","731264.7984965637"
"134","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","3.6","8760","711005.6811970174"
"137","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","3.7","8760","740145.4283604623"
"136","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","3.7","8760","710471.7729323787"
"138","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","3.7","8760","735838.5450280372"
"140","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","3.7","8760","727208.8760507617"
"139","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","3.7","8760","685552.5864565782"
"141","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","3.8","8760","753820.1283719988"
"142","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","3.8","8760","690412.8814333326"
"144","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","3.8","8760","692097.4085070417"
"143","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","3.8","8760","760184.5218798725"
"145","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","3.8","8760","709843.2906846112"
"146","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","3.9","8760","786521.3122569827"
"148","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","3.9","8760","719337.5740025473"
"147","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","3.9","8760","698352.44883296"
"149","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","3.9","8760","728609.5364529111"
"150","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","3.9","8760","726696.9546286707"
"151","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","4","8760","716503.2398338909"
